id,usuario_id,tipo_activo,descripcion,monto
1,7,ahorro,Activos financieros,74284.27
2,8,ahorro,Activos financieros,14384.02
3,7,inversiones,Activos financieros,222459.66
4,3,ahorro,Activos financieros,59254.00
5,5,ahorro,Activos financieros,9822.68
6,8,inversiones,Activos financieros,181003.60
7,3,ahorro,Activos financieros,71743.95
8,3,plan de jubilación,Activos financieros,59007.95
9,6,plan de jubilación,Activos financieros,203310.46
10,5,ahorro,Activos financieros,69964.87
11,103,plan de jubilación,Activos financieros,238916.00
12,39,ahorro,Activos financieros,80922.94
13,67,ahorro,Activos financieros,75230.41
14,50,inversiones,Activos financieros,233761.59
15,90,ahorro,Activos financieros,10764.24
16,49,ahorro,Activos financieros,20037.44
17,31,plan de jubilación,Activos financieros,59318.67
18,78,inversiones,Activos financieros,6393.78
19,84,inversiones,Activos financieros,179461.12
20,28,ahorro,Activos financieros,30197.18
21,103,plan de jubilación,Activos financieros,238916.00
22,39,ahorro,Activos financieros,80922.94
23,67,ahorro,Activos financieros,75230.41
24,50,inversiones,Activos financieros,233761.59
25,90,ahorro,Activos financieros,10764.24
26,49,ahorro,Activos financieros,20037.44
27,31,plan de jubilación,Activos financieros,59318.67
28,78,inversiones,Activos financieros,6393.78
29,84,inversiones,Activos financieros,179461.12
30,28,ahorro,Activos financieros,30197.18
31,47,inversiones,Activos financieros,258019.73
32,61,inversiones,Activos financieros,79715.51
33,100,inversiones,Activos financieros,110955.71
34,75,ahorro,Activos financieros,84727.06
35,62,inversiones,Activos financieros,87509.33
36,8,inversiones,Activos financieros,252653.15
37,64,plan de jubilación,Activos financieros,129058.80
38,43,inversiones,Activos financieros,88946.35
39,83,inversiones,Activos financieros,55915.29
40,19,plan de jubilación,Activos financieros,215726.23
41,12,inversiones,Activos financieros,258019.73
42,87,inversiones,Activos financieros,79715.51
43,83,inversiones,Activos financieros,110955.71
44,221,ahorro,Activos financieros,84727.06
45,64,ahorro,Activos financieros,60464.05
46,19,plan de jubilación,Activos financieros,174106.83
47,43,plan de jubilación,Activos financieros,129058.80
48,43,inversiones,Activos financieros,88946.35
