id,usuario_id,monto,fecha_inicio,fecha_fin,estado,tipo
1,3479,13158.92,2021-06-27,2021-12-24,Pagado,Automotriz
2,9766,27855.84,2021-06-27,2025-06-06,Pagado,Estudiantil
3,5687,24341.30,2020-10-02,2022-09-22,Activo,Hipotecario
4,6279,48965.73,2022-11-18,2023-11-13,Moroso,Personal
5,496,5623.96,2022-08-16,2026-07-26,Pagado,Personal
6,11306,27040.12,2022-06-10,2026-05-20,Activo,Personal
7,9861,2783.98,2021-09-23,2022-03-22,Moroso,Personal
8,1644,12639.55,2021-05-31,2021-11-27,Pagado,Personal
9,6169,2711.86,2025-03-07,2028-02-20,Pagado,Automotriz
10,9568,37024.87,2021-04-13,2021-10-10,Moroso,Automotriz
11,11287,38736.10,2024-02-17,2027-02-01,Moroso,Personal
12,8433,9925.44,2020-10-23,2023-10-08,Activo,Hipotecario
13,10342,8981.53,2020-10-17,2022-10-07,Pagado,Automotriz
14,5502,49261.43,2021-05-04,2022-04-29,Activo,Hipotecario
15,6687,43528.35,2022-05-27,2024-05-16,Pagado,Estudiantil
16,4805,40951.77,2022-07-09,2025-06-23,Pagado,Personal
17,2068,11955.64,2024-11-03,2027-10-19,Pagado,Hipotecario
18,11504,35681.08,2020-10-07,2021-04-05,Moroso,Automotriz
19,10653,40958.43,2025-04-25,2026-04-20,Moroso,Automotriz
20,3060,46675.34,2022-03-26,2024-03-15,Moroso,Estudiantil
21,9099,41577.09,2025-03-06,2029-02-13,Moroso,Automotriz
22,9276,44798.69,2024-02-10,2027-01-25,Activo,Automotriz
23,5328,32859.63,2022-06-01,2023-05-27,Moroso,Estudiantil
24,10602,25639.26,2024-05-12,2027-04-27,Moroso,Hipotecario
25,1071,1811.19,2022-11-28,2024-11-17,Activo,Estudiantil
26,7474,39486.23,2020-08-06,2021-08-01,Pagado,Automotriz
27,9099,37143.99,2021-11-25,2024-11-09,Pagado,Hipotecario
28,5692,41899.31,2024-02-20,2027-02-04,Pagado,Hipotecario
29,7146,38665.88,2023-06-09,2024-06-03,Pagado,Hipotecario
30,8175,42238.30,2022-11-27,2025-11-11,Moroso,Estudiantil
31,2718,43687.90,2021-11-12,2022-11-07,Moroso,Hipotecario
32,2264,34739.23,2022-05-16,2026-04-25,Moroso,Hipotecario
33,3396,48423.18,2023-05-28,2023-11-24,Activo,Hipotecario
34,12104,20718.70,2021-05-30,2024-05-14,Activo,Personal
35,12037,35177.97,2021-05-01,2021-10-28,Activo,Estudiantil
36,9346,43479.89,2023-10-10,2027-09-19,Moroso,Automotriz
37,6315,6739.34,2021-05-13,2022-05-08,Moroso,Estudiantil
38,8855,18396.10,2023-08-06,2025-07-26,Pagado,Estudiantil
39,4714,26760.69,2023-06-20,2027-05-30,Activo,Automotriz
40,7488,44785.38,2022-10-16,2023-04-14,Moroso,Personal
41,2654,17252.21,2020-11-28,2021-11-23,Pagado,Hipotecario
42,3122,39993.57,2024-06-13,2026-06-03,Activo,Personal
43,3313,5186.82,2025-02-07,2028-01-23,Pagado,Estudiantil
44,3526,3057.17,2021-08-08,2023-07-29,Moroso,Automotriz
45,4786,30087.71,2023-10-06,2027-09-15,Pagado,Hipotecario
46,6366,31262.42,2021-03-18,2021-09-14,Pagado,Estudiantil
47,3574,13251.49,2025-03-28,2029-03-07,Activo,Estudiantil
48,7113,26834.57,2023-01-13,2026-12-23,Activo,Hipotecario
49,6877,3649.24,2023-08-14,2026-07-29,Moroso,Personal
50,973,14228.79,2025-06-14,2025-12-11,Moroso,Estudiantil
51,679,14567.61,2022-03-06,2026-02-13,Moroso,Personal
52,10525,8969.29,2021-02-18,2024-02-03,Pagado,Personal
53,9770,46395.01,2020-12-06,2021-06-04,Pagado,Personal
54,7293,19908.62,2022-06-25,2022-12-22,Moroso,Hipotecario
55,7045,15520.23,2023-01-02,2025-12-17,Moroso,Hipotecario
56,3026,40961.84,2021-03-21,2024-03-05,Activo,Automotriz
57,11918,17374.36,2022-07-10,2025-06-24,Pagado,Personal
58,8761,33432.95,2021-05-26,2023-05-16,Activo,Hipotecario
59,11989,31705.04,2023-10-11,2024-10-05,Activo,Personal
60,10704,9828.27,2022-11-27,2026-11-06,Pagado,Estudiantil
61,11041,37825.35,2024-05-25,2026-05-15,Activo,Hipotecario
62,2942,48206.35,2023-08-24,2027-08-03,Activo,Hipotecario
63,3303,37556.54,2021-12-04,2022-11-29,Activo,Hipotecario
64,7050,30490.64,2023-09-10,2026-08-25,Pagado,Personal
65,1355,14471.83,2023-07-25,2025-07-14,Pagado,Personal
66,3118,16798.01,2022-04-28,2025-04-12,Moroso,Automotriz
67,7100,17961.96,2022-10-24,2024-10-13,Moroso,Estudiantil
68,4626,9332.86,2021-02-23,2021-08-22,Activo,Automotriz
69,529,26431.58,2021-12-30,2022-06-28,Moroso,Personal
70,6051,17465.29,2025-01-31,2027-01-21,Pagado,Personal
71,5957,17811.11,2022-08-16,2025-07-31,Moroso,Hipotecario
72,12255,27244.58,2021-12-06,2024-11-20,Moroso,Hipotecario
73,4265,45943.43,2024-06-22,2027-06-07,Pagado,Automotriz
74,1121,40681.44,2023-10-08,2024-04-05,Moroso,Hipotecario
75,8841,6455.27,2022-11-02,2026-10-12,Moroso,Personal
76,10058,44342.74,2025-04-12,2026-04-07,Moroso,Hipotecario
77,3565,31438.95,2022-05-30,2022-11-26,Activo,Automotriz
78,912,35180.22,2023-04-20,2024-04-14,Activo,Estudiantil
79,8128,43093.30,2021-01-06,2024-12-16,Activo,Estudiantil
80,3703,2671.82,2022-06-28,2026-06-07,Moroso,Personal
81,3543,28032.46,2020-10-24,2021-10-19,Activo,Automotriz
82,7683,46065.37,2023-03-24,2025-03-13,Pagado,Hipotecario
83,7335,6348.89,2023-12-15,2025-12-04,Moroso,Hipotecario
84,9866,24487.68,2022-10-26,2024-10-15,Pagado,Personal
85,8424,10198.88,2021-02-07,2024-01-23,Moroso,Automotriz
86,11139,16319.29,2022-05-03,2025-04-17,Pagado,Estudiantil
87,7924,13459.17,2025-05-14,2027-05-04,Pagado,Hipotecario
88,8345,47869.99,2023-03-21,2025-03-10,Pagado,Estudiantil
89,1000,11270.88,2022-05-08,2023-05-03,Pagado,Personal
90,11764,25117.92,2024-10-15,2025-04-13,Moroso,Estudiantil
91,10276,22077.92,2023-11-28,2024-05-26,Activo,Automotriz
92,10333,48869.40,2024-06-11,2024-12-08,Pagado,Hipotecario
93,2178,21055.16,2021-10-03,2022-04-01,Moroso,Personal
94,11595,5192.49,2022-10-17,2024-10-06,Activo,Estudiantil
95,10739,19762.95,2021-09-23,2022-09-18,Activo,Automotriz
96,7717,15012.80,2022-08-22,2025-08-06,Activo,Hipotecario
97,10238,16154.09,2025-04-26,2027-04-16,Moroso,Hipotecario
98,8049,26936.38,2025-02-15,2027-02-05,Moroso,Estudiantil
99,5596,23443.21,2022-10-11,2023-04-09,Activo,Automotriz
100,11817,22217.50,2025-07-07,2028-06-21,Pagado,Automotriz
101,6584,1889.84,2024-03-09,2024-09-05,Moroso,Personal
102,11813,40999.09,2025-07-03,2028-06-17,Activo,Personal
103,8642,16798.03,2023-12-09,2024-12-03,Moroso,Personal
104,8069,4833.14,2023-08-15,2024-08-09,Activo,Estudiantil
105,8384,30858.14,2022-05-29,2022-11-25,Activo,Automotriz
106,4471,24329.51,2021-09-19,2022-03-18,Activo,Hipotecario
107,89,11261.41,2024-11-16,2026-11-06,Activo,Estudiantil
108,3365,35710.75,2024-09-27,2025-09-22,Pagado,Automotriz
109,7261,48172.30,2021-04-25,2025-04-04,Activo,Hipotecario
110,818,25415.48,2020-12-10,2021-12-05,Activo,Personal
111,2069,19868.54,2021-06-22,2022-06-17,Pagado,Hipotecario
112,97,23965.86,2021-11-03,2022-10-29,Pagado,Personal
113,8293,22226.48,2021-11-26,2024-11-10,Moroso,Personal
114,1716,5294.83,2024-02-18,2027-02-02,Activo,Hipotecario
115,9310,31265.21,2021-01-30,2022-01-25,Pagado,Estudiantil
116,2020,10437.74,2023-10-25,2024-10-19,Moroso,Hipotecario
117,5044,5492.48,2023-10-15,2026-09-29,Moroso,Personal
118,10951,18808.05,2024-07-10,2025-01-06,Moroso,Personal
119,4965,7221.30,2025-01-15,2026-01-10,Moroso,Estudiantil
120,2368,42682.71,2022-09-06,2023-03-05,Moroso,Hipotecario
121,6677,26512.32,2025-03-31,2028-03-15,Activo,Estudiantil
122,9760,41545.66,2020-08-21,2024-07-31,Moroso,Estudiantil
