id,usuario_id,tipo_moneda,cantidad,valor_actual
1,5,ADA,"8727,79588549","0,79"
2,7,BTC,"1,13743509","56869,56"
3,9,BTC,"0,47907122","50116,5"
4,9,XRP,"12265,71599236","0,3"
5,4,ETH,"8,78642474","2443,99"
6,5,USDT,"73206,60498483",1
7,5,BTC,"2,00144779","43787,49"
8,5,SOL,"455,58415899","123,21"
9,1,DOT,"837,99980655","19,91"
10,9,SOL,"400,76814599","57,24"
11,83,ETH,"1,77539131","2394,21"
12,15,BTC,"2,35341886","46065,87"
13,96,XRP,"8129,63185714","0,58"
14,83,DOT,"52,99732662","9,78"
15,103,USDT,"81382,1964858",1
16,54,BTC,"2,3627321","56104,13"
17,52,DOT,"340,53569829","3,04"
18,82,USDT,"62135,67867033",1
19,54,SOL,"342,52186687","191,96"
20,78,USDT,"45792,8206386",1
21,83,ETH,"1,77539131","2394,21"
22,15,BTC,"2,35341886","46065,87"
23,96,XRP,"8129,63185714","0,58"
24,83,DOT,"52,99732662","9,78"
25,103,USDT,"81382,1964858",1
26,54,BTC,"2,3627321","56104,13"
27,52,DOT,"340,53569829","3,04"
28,82,USDT,"62135,67867033",1
29,54,SOL,"342,52186687","191,96"
30,78,USDT,"45792,8206386",1
31,70,BNB,"19,9595994","403,51"
32,227,BNB,"36,11765872","328,21"
33,57,ADA,"65351,84811922","0,96"
34,77,USDT,"38735,06314286",1
35,65,USDT,"78012,17633751",1
36,11,USDT,"99991,33488355",1
37,28,ETH,"8,92773816","1683,98"
38,106,ADA,"36121,55810511","0,6"
39,31,ADA,"51946,7570145","0,96"
40,36,ETH,"9,75163656","2324,47"
41,70,BNB,"19,9595994","403,51"
42,227,BNB,"36,11765872","328,21"
43,57,ADA,"65351,84811922","0,96"
44,77,USDT,"38735,06314286",1
45,65,USDT,"78012,17633751",1
46,11,USDT,"99991,33488355",1
47,28,ETH,"8,92773816","1683,98"
48,106,ADA,"36121,55810511","0,6"
49,31,ADA,"51946,7570145","0,96"
50,36,ETH,"9,75163656","2324,47"
51,70,BNB,"19,9595994","403,51"
52,227,BNB,"36,11765872","328,21"
53,57,ADA,"65351,84811922","0,96"
54,77,USDT,"38735,06314286",1
55,65,USDT,"78012,17633751",1
56,11,USDT,"99991,33488355",1
57,28,ETH,"8,92773816","1683,98"
58,106,ADA,"36121,55810511","0,6"
59,31,ADA,"51946,7570145","0,96"
60,36,ETH,"9,75163656","2324,47"
61,70,BNB,"19,9595994","403,51"
62,227,BNB,"36,11765872","328,21"
63,57,ADA,"65351,84811922","0,96"
64,77,USDT,"38735,06314286",1
65,65,USDT,"78012,17633751",1
66,11,USDT,"99991,33488355",1
67,28,ETH,"8,92773816","1683,98"
68,106,ADA,"36121,55810511","0,6"
69,31,ADA,"51946,7570145","0,96"
70,36,ETH,"9,75163656","2324,47"
71,26,DOT,"454,58791755","7,55"
72,76,ETH,"5,67896938","3007,32"
73,19,ETH,"6,53810614","1994,14"
74,45,BNB,"8,67977862","323,72"
75,84,USDT,"58459,03247218",1
76,104,ADA,"43513,20859253","0,4"
77,59,XRP,"20349,94006532","1,69"
78,78,SOL,"284,25889142","192,13"
79,3,DOT,"388,50236782","24,22"
80,80,USDT,"94247,69672068",1
81,28,BNB,"10,17156984","296,62"
82,1,BTC,"2,81479364","42410,85"
83,40,BNB,"37,9081756","467,32"
84,86,BNB,"13,41980745","269,28"
85,26,SOL,"41,96208337","119,82"
86,53,USDT,"78610,14462024",1
87,70,XRP,"38849,95257922","0,74"
88,85,DOT,"341,18121914","23,12"
89,6,USDT,"60978,9911432",1
90,90,DOT,"344,05116578","15,86"
91,28,BNB,"10,17156984","296,62"
92,1,BTC,"2,81479364","42410,85"
93,40,BNB,"37,9081756","467,32"
94,86,BNB,"13,41980745","269,28"
95,26,SOL,"41,96208337","119,82"
96,53,USDT,"78610,14462024",1
97,70,XRP,"38849,95257922","0,74"
98,85,DOT,"341,18121914","23,12"
99,6,USDT,"60978,9911432",1
100,90,DOT,"344,05116578","15,86"
101,28,BNB,"10,17156984","296,62"
102,1,BTC,"2,81479364","42410,85"
103,40,BNB,"37,9081756","467,32"
104,86,BNB,"13,41980745","269,28"
105,26,SOL,"41,96208337","119,82"
106,53,USDT,"78610,14462024",1
107,70,XRP,"38849,95257922","0,74"
108,85,DOT,"341,18121914","23,12"
109,6,USDT,"60978,9911432",1
110,90,DOT,"344,05116578","15,86"
111,6775,ADA,"8727,79588549","0,79"
112,10882,BTC,"1,13743509","56869,56"
113,9872,BTC,"0,47907122","50116,5"
114,9685,BNB,"8,19720447","471,77"
115,2321,XRP,"3503,14930334","0,84"
116,11631,ETH,"9,05408112","1731,91"
117,4357,USDT,"79009,28371744",1
118,4207,DOT,"266,05638356","21,43"
119,9268,SOL,"260,88295828","106,93"
120,4770,SOL,"6,37279119","180,73"
121,598,XRP,"34245,01256086","1,39"
122,5382,DOT,"521,08839481","12,23"
123,9106,BTC,"2,54204061","59363,54"
124,8580,ETH,"9,13654547","3145,19"
125,9292,SOL,"168,52438478","90,41"
126,2836,DOT,"388,2679719","20,13"
127,3244,BNB,"29,3142255","449,48"
128,6176,BTC,"2,68845905","69926,58"
129,54,BTC,"1,91643864","69753,79"
130,2066,BNB,"27,21306368","494,2"
131,1203,DOT,"379,21157455","13,15"
132,1868,USDT,"45639,46878154",1
133,1323,ADA,"95467,66490849","1,06"
134,8080,ETH,"6,17622873","2775,8"
135,8296,ETH,"0,82997221","3743,7"
136,6536,XRP,"3683,46479583","1,48"
137,1406,BTC,"2,95604599","47876,2"
138,1245,BTC,"2,25246974","50044,92"
139,11510,BTC,"1,9174199","69090,58"
140,11777,ETH,"7,17746136","3197,63"
141,9082,BNB,"37,20825909","447,43"
142,10309,BTC,"2,27421299","51616,26"
143,9538,USDT,"91373,07529",1
144,695,XRP,"18430,72442064","1,21"
145,6615,ETH,"6,29654663","3505,69"
146,7742,XRP,"3112,16767513","0,53"
147,7297,BTC,"1,0486841","66132,32"
148,784,DOT,"304,50197336","20,4"
